# source: https://www.genenames.org/cgi-bin/genefamilies/set/1054
# https://www.genenames.org/cgi-bin/genefamilies/set/1054/download/branch
HGNC ID	Approved Symbol	Approved Name	Status	Previous Symbols	Synonyms	Chromosome	Accession Numbers	RefSeq IDs	Gene Family Tag	Gene family description	Gene family ID
14515	MRPS18A	mitochondrial ribosomal protein S18A	Approved		FLJ10548, MRPS18-3	6p21.1	AB049952	NM_018135	MRPL, MRPS	Mitochondrial ribosomal proteins	646
14516	MRPS18B	mitochondrial ribosomal protein S18B	Approved		MRPS18-2, PTD017, C6orf14, HSPC183	6p21.33	AF100761		MRPL, MRPS	Mitochondrial ribosomal proteins	646
16633	MRPS18C	mitochondrial ribosomal protein S18C	Approved		MRPS18-1, CGI-134, FLJ11146, FLJ22967	4q21.23			MRPL, MRPS	Mitochondrial ribosomal proteins	646
14495	MRPS2	mitochondrial ribosomal protein S2	Approved		CGI-91	9q34.3	AB051627		MRPL, MRPS	Mitochondrial ribosomal proteins	646
14046	MRPS21	mitochondrial ribosomal protein S21	Approved			1q21.2	AB051353	NM_018997	MRPL, MRPS	Mitochondrial ribosomal proteins	646
14508	MRPS22	mitochondrial ribosomal protein S22	Approved		MRP-S22, GK002, C3orf5, GIBT	3q23	AF226045	NM_020191	MRPL, MRPS	Mitochondrial ribosomal proteins	646
14509	MRPS23	mitochondrial ribosomal protein S23	Approved		MRP-S23, CGI-138, HSPC329	17q22	AB061206	NM_016070	MRPL, MRPS	Mitochondrial ribosomal proteins	646
14510	MRPS24	mitochondrial ribosomal protein S24	Approved		MRP-S24, HSPC335	7p13	AB061207	NM_032014	MRPL, MRPS	Mitochondrial ribosomal proteins	646
14511	MRPS25	mitochondrial ribosomal protein S25	Approved		MRP-S25, FLJ00023, DKFZp313H0817, RPMS25	3p25.1	AB061208	NM_022497	MRPL, MRPS	Mitochondrial ribosomal proteins	646
14045	MRPS26	mitochondrial ribosomal protein S26	Approved	C20orf193	MRP-S13, MRP-S26, RPMS13, dJ534B8.3	20p13	AB051354	NM_030811	MRPL, MRPS	Mitochondrial ribosomal proteins	646
14512	MRPS27	mitochondrial ribosomal protein S27	Approved		KIAA0264	5q13.2	D87453	NM_015084	MRPL, MRPS	Mitochondrial ribosomal proteins	646
14513	MRPS28	mitochondrial ribosomal protein S28	Approved		MRP-S28, HSPC007, MRPS35	8q21.13	AB061209	NM_014018	MRPL, MRPS	Mitochondrial ribosomal proteins	646
2673	DAP3	death associated protein 3	Approved		MRPS29, DAP-3, MRP-S29, bMRP-10, MGC126058, MGC126059, DKFZp686G12159	1q22	X83544	NM_004632	MRPL, MRPS	Mitochondrial ribosomal proteins	646
8769	MRPS30	mitochondrial ribosomal protein S30	Approved	PDCD9	PAP	5p12	AF146192	NM_016640	MRPL, MRPS	Mitochondrial ribosomal proteins	646
16632	MRPS31	mitochondrial ribosomal protein S31	Approved		IMOGN38	13q14.11	Z68747		MRPL, MRPS	Mitochondrial ribosomal proteins	646
16634	MRPS33	mitochondrial ribosomal protein S33	Approved		CGI-139	7q34	AF078858	NM_053035	MRPL, MRPS	Mitochondrial ribosomal proteins	646
16618	MRPS34	mitochondrial ribosomal protein S34	Approved		MRP-S12, MGC2616	16p13.3	BC001182	NM_023936	MRPL, MRPS	Mitochondrial ribosomal proteins	646
